run,steps,seed
11,33,1257224860
3,35,1257224852
10,40,1257224859
9,40,1257224858
12,39,1257224861
5,61,1257224854
1,41,1257224850
6,40,1257224855
4,54,1257224853
8,38,1257224857
2,51,1257224851
7,42,1257224856
13,45,1257224862
14,52,1257224863
15,34,1257224864
16,49,1257224865
22,38,1257224871
18,47,1257224867
17,41,1257224866
19,39,1257224868
21,37,1257224870
20,35,1257224869
23,39,1257224872
24,38,1257224873
30,36,1257224879
27,57,1257224876
28,54,1257224877
29,43,1257224878
25,50,1257224874
31,63,1257224880
26,49,1257224875
32,66,1257224881
35,43,1257224884
33,52,1257224882
36,49,1257224885
34,39,1257224883
37,44,1257224886
38,42,1257224887
45,33,1257224894
39,53,1257224888
41,34,1257224890
44,36,1257224893
42,38,1257224891
43,42,1257224892
46,43,1257224895
40,72,1257224889
47,43,1257224896
48,40,1257224897
50,35,1257224899
49,41,1257224898
53,52,1257224902
52,45,1257224901
57,38,1257224906
54,43,1257224903
55,104,1257224904
60,39,1257224909
56,45,1257224905
59,50,1257224908
51,219,1257224900
58,106,1257224907
61,45,1257224910
62,36,1257224911
64,36,1257224913
63,79,1257224912
66,36,1257224915
65,47,1257224914
68,40,1257224917
69,35,1257224918
67,48,1257224916
72,40,1257224921
70,56,1257224919
71,71,1257224920
74,37,1257224923
73,44,1257224922
78,45,1257224927
76,44,1257224925
81,46,1257224930
77,57,1257224926
75,168,1257224924
80,45,1257224929
83,50,1257224932
84,48,1257224933
79,154,1257224928
82,152,1257224931
85,39,1257224934
86,73,1257224935
87,39,1257224936
88,43,1257224937
89,40,1257224938
90,41,1257224939
92,38,1257224941
91,47,1257224940
93,38,1257224942
94,50,1257224943
95,39,1257224944
96,41,1257224945
97,40,1257224946
100,34,1257224949
99,37,1257224948
98,56,1257224947
