run,steps,escapers,seed
2,1,25,3916190647
3,1,25,3916190648
4,1,25,3916190649
5,1,25,3916190650
9,1,25,3916190654
8,1,25,3916190653
1,1,25,3916190646
10,1,25,3916190655
12,1,25,3916190657
7,1,25,3916190652
13,1,25,3916190658
15,1,25,3916190660
6,1,25,3916190651
16,1,25,3916190661
17,1,25,3916190662
14,1,25,3916190659
11,1,25,3916190656
18,1,25,3916190663
19,1,25,3916190664
20,1,25,3916190665
21,1,25,3916190666
22,1,25,3916190667
23,1,25,3916190668
25,1,25,3916190670
24,1,25,3916190669
26,1,25,3916190671
27,1,25,3916190672
28,1,25,3916190673
29,1,25,3916190674
30,1,25,3916190675
31,1,25,3916190676
32,1,25,3916190677
33,1,25,3916190678
34,1,25,3916190679
35,1,25,3916190680
36,1,25,3916190681
37,1,25,3916190682
38,1,25,3916190683
39,1,25,3916190684
40,1,25,3916190685
41,1,25,3916190686
42,1,25,3916190687
43,1,25,3916190688
44,1,25,3916190689
45,1,25,3916190690
46,1,25,3916190691
48,1,25,3916190693
49,1,25,3916190694
47,1,25,3916190692
50,1,25,3916190695
51,1,25,3916190696
52,1,25,3916190697
53,1,25,3916190698
54,1,25,3916190699
55,1,25,3916190700
56,1,25,3916190701
57,1,25,3916190702
58,1,25,3916190703
59,1,25,3916190704
60,1,25,3916190705
61,1,25,3916190706
62,1,25,3916190707
63,1,25,3916190708
64,1,25,3916190709
66,1,25,3916190711
65,1,25,3916190710
67,1,25,3916190712
68,1,25,3916190713
69,1,25,3916190714
70,1,25,3916190715
72,1,25,3916190717
73,1,25,3916190718
71,1,25,3916190716
74,1,25,3916190719
75,1,25,3916190720
77,1,25,3916190722
76,1,25,3916190721
78,1,25,3916190723
79,1,25,3916190724
80,1,25,3916190725
81,1,25,3916190726
82,1,25,3916190727
83,1,25,3916190728
85,1,25,3916190730
84,1,25,3916190729
86,1,25,3916190731
88,1,25,3916190733
89,1,25,3916190734
90,1,25,3916190735
87,1,25,3916190732
91,1,25,3916190736
92,1,25,3916190737
93,1,25,3916190738
94,1,25,3916190739
95,1,25,3916190740
97,1,25,3916190742
96,1,25,3916190741
98,1,25,3916190743
99,1,25,3916190744
100,1,25,3916190745
101,1,25,3916190746
102,1,25,3916190747
103,1,25,3916190748
104,1,25,3916190749
105,1,25,3916190750
106,1,25,3916190751
107,1,25,3916190752
109,1,25,3916190754
110,1,25,3916190755
111,1,25,3916190756
108,1,25,3916190753
112,1,25,3916190757
113,1,25,3916190758
114,1,25,3916190759
115,1,25,3916190760
116,1,25,3916190761
117,1,25,3916190762
118,1,25,3916190763
119,1,25,3916190764
120,1,25,3916190765
121,1,25,3916190766
123,1,25,3916190768
122,1,25,3916190767
124,1,25,3916190769
125,1,25,3916190770
126,1,25,3916190771
127,1,25,3916190772
128,1,25,3916190773
129,1,25,3916190774
130,1,25,3916190775
131,1,25,3916190776
132,1,25,3916190777
133,1,25,3916190778
135,1,25,3916190780
136,1,25,3916190781
134,1,25,3916190779
137,1,25,3916190782
138,1,25,3916190783
139,1,25,3916190784
140,1,25,3916190785
141,1,25,3916190786
142,1,25,3916190787
143,1,25,3916190788
144,1,25,3916190789
145,1,25,3916190790
146,1,25,3916190791
148,1,25,3916190793
149,1,25,3916190794
147,1,25,3916190792
150,1,25,3916190795
151,1,25,3916190796
152,1,25,3916190797
153,1,25,3916190798
154,1,25,3916190799
155,1,25,3916190800
156,1,25,3916190801
157,1,25,3916190802
158,1,25,3916190803
159,1,25,3916190804
161,1,25,3916190806
160,1,25,3916190805
162,1,25,3916190807
163,1,25,3916190808
164,1,25,3916190809
165,1,25,3916190810
166,1,25,3916190811
167,1,25,3916190812
168,1,25,3916190813
169,1,25,3916190814
170,1,25,3916190815
171,1,25,3916190816
172,1,25,3916190817
173,1,25,3916190818
