run,steps,seed
8,1,982726241
12,2,982726245
11,2,982726244
6,2,982726239
2,2,982726235
5,3,982726238
7,3,982726240
15,1,982726248
9,3,982726242
13,4,982726246
17,2,982726250
16,4,982726249
22,1,982726255
3,5,982726236
14,5,982726247
10,5,982726243
21,4,982726254
20,5,982726253
1,9,982726234
26,2,982726259
27,3,982726260
18,8,982726251
23,2,982726256
28,3,982726261
31,2,982726264
24,5,982726257
34,1,982726267
32,3,982726265
36,1,982726269
29,5,982726262
37,2,982726270
33,3,982726266
4,12,982726237
44,1,982726277
39,3,982726272
42,2,982726275
19,8,982726252
43,2,982726276
30,8,982726263
35,5,982726268
48,2,982726281
45,4,982726278
50,2,982726283
47,3,982726280
41,5,982726274
46,3,982726279
49,4,982726282
52,3,982726285
25,12,982726258
51,4,982726284
55,3,982726288
57,3,982726290
56,4,982726289
54,4,982726287
62,3,982726295
65,2,982726298
64,3,982726297
61,4,982726294
70,1,982726303
60,6,982726293
58,8,982726291
66,4,982726299
72,1,982726305
40,12,982726273
53,11,982726286
63,7,982726296
74,2,982726307
68,5,982726301
77,1,982726310
67,6,982726300
79,2,982726312
71,6,982726304
82,2,982726315
78,4,982726311
76,5,982726309
85,1,982726318
59,13,982726292
81,5,982726314
86,2,982726319
73,9,982726306
89,1,982726322
83,5,982726316
93,1,982726326
38,23,982726271
75,9,982726308
80,8,982726313
94,2,982726327
88,5,982726321
69,13,982726302
98,2,982726331
100,1,982726333
84,8,982726317
87,7,982726320
101,1,982726334
91,6,982726324
95,4,982726328
99,3,982726332
102,3,982726335
96,6,982726329
103,3,982726336
90,9,982726323
109,2,982726342
108,3,982726341
111,1,982726344
107,3,982726340
92,9,982726325
114,1,982726347
110,2,982726343
112,2,982726345
113,2,982726346
106,5,982726339
115,2,982726348
121,1,982726354
123,1,982726356
104,8,982726337
118,4,982726351
126,1,982726359
116,4,982726349
105,8,982726338
120,4,982726353
127,1,982726360
128,1,982726361
131,1,982726364
124,4,982726357
130,2,982726363
132,2,982726365
133,2,982726366
136,1,982726369
117,8,982726350
129,5,982726362
119,8,982726352
134,4,982726367
125,7,982726358
138,3,982726371
135,4,982726368
145,1,982726378
141,3,982726374
122,11,982726355
148,1,982726381
140,5,982726373
142,4,982726375
144,3,982726377
149,1,982726382
137,7,982726370
143,4,982726376
97,17,982726330
139,7,982726372
146,4,982726379
147,4,982726380
155,1,982726388
158,1,982726391
151,3,982726384
152,3,982726385
160,2,982726393
153,4,982726386
159,2,982726392
164,2,982726397
167,1,982726400
150,6,982726383
163,3,982726396
161,4,982726394
170,1,982726403
156,5,982726389
171,2,982726404
165,5,982726398
172,2,982726405
175,1,982726408
162,6,982726395
168,4,982726401
169,4,982726402
157,9,982726390
182,1,982726415
154,11,982726387
178,3,982726411
181,2,982726414
176,6,982726409
174,6,982726407
177,5,982726410
183,4,982726416
184,5,982726417
187,4,982726420
173,8,982726406
180,8,982726413
188,5,982726421
186,6,982726419
189,4,982726422
190,4,982726423
192,3,982726425
191,5,982726424
194,3,982726427
179,10,982726412
195,3,982726428
198,2,982726431
203,1,982726436
200,2,982726433
185,10,982726418
197,4,982726430
196,5,982726429
206,1,982726439
193,6,982726426
208,1,982726441
209,1,982726442
210,1,982726443
204,4,982726437
201,5,982726434
211,2,982726444
199,6,982726432
207,4,982726440
202,4,982726435
213,3,982726446
219,1,982726452
218,2,982726451
215,3,982726448
220,2,982726453
222,1,982726455
205,7,982726438
217,3,982726450
223,2,982726456
228,1,982726461
230,3,982726463
212,7,982726445
226,4,982726459
216,8,982726449
221,6,982726454
232,1,982726465
224,6,982726457
229,6,982726462
234,2,982726467
236,1,982726469
231,6,982726464
238,2,982726471
235,3,982726468
237,3,982726470
239,3,982726472
225,9,982726458
227,10,982726460
243,3,982726476
233,7,982726466
241,5,982726474
244,4,982726477
246,3,982726479
247,4,982726480
252,1,982726485
242,6,982726475
