run,tempo,presas
54,0,800
54,1,777
54,2,739
54,3,718
54,4,686
54,5,660
54,6,625
54,7,592
54,8,555
54,9,527
54,10,511
54,11,481
54,12,455
54,13,438
54,14,416
54,15,396
54,16,382
54,17,366
54,18,341
54,19,329
54,20,317
54,21,295
54,22,283
54,23,267
54,24,252
54,25,246
54,26,236
54,27,218
54,28,208
54,29,195
54,30,181
54,31,171
54,32,161
54,33,152
54,34,145
54,35,138
54,36,131
54,37,128
54,38,125
54,39,118
54,40,113
54,41,110
54,42,103
54,43,97
54,44,90
54,45,86
54,46,83
54,47,77
54,48,73
54,49,71
54,50,67
54,51,61
54,52,59
54,53,59
54,54,57
54,55,52
54,56,50
54,57,50
54,58,47
54,59,45
54,60,43
54,61,41
54,62,39
54,63,37
54,64,33
54,65,33
54,66,29
54,67,27
54,68,25
54,69,24
54,70,23
54,71,22
54,72,22
54,73,22
54,74,22
54,75,21
54,76,20
54,77,19
54,78,17
54,79,16
54,80,16
54,81,14
54,82,14
54,83,14
54,84,14
54,85,14
54,86,11
54,87,10
54,88,10
54,89,9
54,90,8
54,91,8
54,92,8
54,93,8
54,94,7
54,95,7
54,96,5
54,97,5
54,98,5
54,99,4
54,100,4
54,101,4
54,102,4
54,103,4
54,104,4
54,105,4
54,106,4
54,107,4
54,108,4
54,109,4
54,110,4
54,111,4
54,112,4
54,113,4
54,114,4
54,115,4
54,116,4
54,117,3
54,118,3
54,119,3
54,120,3
54,121,3
54,122,1
54,123,1
54,124,1
54,125,1
54,126,1
54,127,1
