run,steps,seed
3,1,554807097
5,1,554807099
1,2,554807095
7,3,554807101
13,2,554807107
11,4,554807105
8,4,554807102
10,4,554807104
4,4,554807098
18,1,554807112
15,3,554807109
2,5,554807096
14,4,554807108
16,3,554807110
20,2,554807114
9,6,554807103
21,2,554807115
19,3,554807113
25,1,554807119
23,2,554807117
28,1,554807122
29,1,554807123
17,5,554807111
24,3,554807118
32,1,554807126
33,1,554807127
27,3,554807121
6,8,554807100
34,1,554807128
35,1,554807129
22,5,554807116
31,3,554807125
12,11,554807106
36,2,554807130
37,2,554807131
44,1,554807138
40,3,554807134
43,3,554807137
30,6,554807124
42,4,554807136
51,1,554807145
45,4,554807139
48,3,554807142
49,3,554807143
53,1,554807147
50,3,554807144
54,1,554807148
56,1,554807150
46,6,554807140
38,7,554807132
55,2,554807149
39,8,554807133
60,1,554807154
41,9,554807135
47,8,554807141
62,2,554807156
66,1,554807160
64,2,554807158
61,4,554807155
65,3,554807159
70,1,554807164
69,2,554807163
59,6,554807153
52,8,554807146
63,5,554807157
68,3,554807162
58,7,554807152
67,4,554807161
57,7,554807151
73,2,554807167
79,1,554807173
76,2,554807170
72,4,554807166
78,4,554807172
74,5,554807168
80,4,554807174
82,5,554807176
75,7,554807169
87,2,554807181
86,3,554807180
26,23,554807120
84,5,554807178
77,7,554807171
81,7,554807175
90,2,554807184
89,3,554807183
93,2,554807187
96,2,554807190
97,1,554807191
83,9,554807177
91,4,554807185
94,4,554807188
85,8,554807179
103,1,554807197
98,3,554807192
104,1,554807198
107,1,554807201
102,3,554807196
99,4,554807193
88,9,554807182
111,1,554807205
100,5,554807194
106,3,554807200
101,6,554807195
95,8,554807189
108,3,554807202
71,15,554807165
117,1,554807211
92,10,554807186
105,6,554807199
113,4,554807207
112,5,554807206
114,4,554807208
118,4,554807212
123,1,554807217
109,7,554807203
120,4,554807214
126,1,554807220
121,4,554807215
110,8,554807204
125,3,554807219
116,7,554807210
132,3,554807226
130,4,554807224
133,3,554807227
129,4,554807223
131,4,554807225
124,6,554807218
122,7,554807216
134,4,554807228
115,11,554807209
136,2,554807230
137,2,554807231
127,7,554807221
143,1,554807237
142,3,554807236
144,2,554807238
139,5,554807233
141,4,554807235
135,7,554807229
151,1,554807245
150,2,554807244
128,11,554807222
146,5,554807240
149,4,554807243
156,1,554807250
148,5,554807242
154,3,554807248
159,1,554807253
155,3,554807249
140,9,554807234
152,5,554807246
138,10,554807232
145,9,554807239
163,3,554807257
162,3,554807256
164,3,554807258
157,6,554807251
166,1,554807260
160,1,554807254
161,5,554807255
170,1,554807264
167,2,554807261
172,1,554807266
171,2,554807265
168,3,554807262
119,22,554807213
165,6,554807259
169,5,554807263
175,3,554807269
158,10,554807252
173,4,554807267
178,3,554807272
177,3,554807271
180,3,554807274
183,1,554807277
153,15,554807247
182,3,554807276
147,16,554807241
187,3,554807281
188,3,554807282
179,6,554807273
184,5,554807278
186,4,554807280
193,1,554807287
197,1,554807291
174,10,554807268
181,7,554807275
195,2,554807289
199,1,554807293
192,5,554807286
201,2,554807295
191,7,554807285
190,7,554807284
202,2,554807296
200,5,554807294
205,2,554807299
196,3,554807290
185,11,554807279
203,3,554807297
207,2,554807301
176,11,554807270
204,3,554807298
198,7,554807292
194,9,554807288
208,3,554807302
213,2,554807307
210,3,554807304
219,1,554807313
206,7,554807300
216,3,554807310
218,2,554807312
220,1,554807314
211,4,554807305
221,2,554807315
224,2,554807318
226,2,554807320
215,3,554807309
217,5,554807311
212,8,554807306
189,17,554807283
228,3,554807322
223,6,554807317
222,5,554807316
225,6,554807319
227,5,554807321
234,2,554807328
235,2,554807329
233,3,554807327
231,4,554807325
238,1,554807332
242,1,554807336
232,5,554807326
236,5,554807330
209,16,554807303
229,8,554807323
240,4,554807334
241,5,554807335
244,5,554807338
237,7,554807331
230,10,554807324
243,6,554807337
214,16,554807308
239,9,554807333
245,6,554807339
249,5,554807343
255,2,554807349
250,4,554807344
257,2,554807351
248,7,554807342
252,4,554807346
258,2,554807352
262,1,554807356
259,2,554807353
263,1,554807357
260,2,554807354
251,6,554807345
253,5,554807347
261,2,554807355
254,5,554807348
267,1,554807361
265,2,554807359
247,10,554807341
272,2,554807366
268,3,554807362
246,10,554807340
277,1,554807371
270,4,554807364
275,2,554807369
266,6,554807360
279,1,554807373
274,5,554807368
276,4,554807370
269,7,554807363
271,7,554807365
280,4,554807374
264,8,554807358
282,3,554807376
287,1,554807381
278,5,554807372
288,1,554807382
289,1,554807383
281,5,554807375
286,3,554807380
290,2,554807384
273,10,554807367
256,16,554807350
292,2,554807386
284,5,554807378
285,5,554807379
295,2,554807389
301,2,554807395
293,5,554807387
298,3,554807392
303,2,554807397
297,4,554807391
300,4,554807394
299,5,554807393
304,3,554807398
283,12,554807377
291,9,554807385
294,8,554807388
311,1,554807405
312,1,554807406
310,3,554807404
316,1,554807410
307,5,554807401
313,3,554807407
317,2,554807411
308,6,554807402
302,9,554807396
309,6,554807403
318,2,554807412
306,8,554807400
322,1,554807416
296,11,554807390
315,4,554807409
326,1,554807420
325,1,554807419
324,2,554807418
328,1,554807422
327,2,554807421
320,4,554807414
332,1,554807426
323,4,554807417
330,2,554807424
337,1,554807431
329,4,554807423
319,7,554807413
336,2,554807430
335,3,554807429
333,5,554807427
305,14,554807399
341,3,554807435
321,9,554807415
331,7,554807425
342,3,554807436
345,1,554807439
334,7,554807428
339,5,554807433
347,1,554807441
338,7,554807432
348,2,554807442
350,2,554807444
340,7,554807434
351,2,554807445
353,3,554807447
356,1,554807450
346,5,554807440
360,1,554807454
352,4,554807446
354,4,554807448
359,2,554807453
361,1,554807455
355,5,554807449
362,2,554807456
358,4,554807452
366,1,554807460
363,2,554807457
367,2,554807461
343,11,554807437
349,9,554807443
365,5,554807459
364,5,554807458
368,5,554807462
372,3,554807466
376,1,554807470
377,1,554807471
369,6,554807463
378,1,554807472
374,3,554807468
375,3,554807469
371,6,554807465
370,7,554807464
344,16,554807438
380,2,554807474
384,2,554807478
379,4,554807473
385,3,554807479
382,4,554807476
387,4,554807481
386,5,554807480
388,4,554807482
383,5,554807477
393,1,554807487
373,10,554807467
392,3,554807486
390,4,554807484
391,4,554807485
395,3,554807489
400,1,554807494
398,2,554807492
357,18,554807451
394,4,554807488
397,4,554807491
389,8,554807483
402,3,554807496
408,1,554807502
396,6,554807490
403,3,554807497
405,3,554807499
399,6,554807493
407,2,554807501
409,1,554807503
401,5,554807495
411,1,554807505
414,2,554807508
404,6,554807498
419,1,554807513
416,4,554807510
406,7,554807500
418,3,554807512
415,5,554807509
421,1,554807515
420,3,554807514
425,1,554807519
426,2,554807520
417,6,554807511
413,8,554807507
424,3,554807518
381,18,554807475
423,4,554807517
410,9,554807504
428,4,554807522
430,3,554807524
431,4,554807525
434,3,554807528
435,3,554807529
314,36,554807408
432,4,554807526
429,5,554807523
422,8,554807516
433,5,554807527
439,1,554807533
441,1,554807535
436,4,554807530
437,4,554807531
442,2,554807536
427,9,554807521
443,4,554807537
444,5,554807538
445,5,554807539
449,4,554807543
448,5,554807542
447,6,554807541
452,3,554807546
456,1,554807550
450,5,554807544
446,8,554807540
457,2,554807551
459,1,554807553
412,18,554807506
454,4,554807548
461,1,554807555
455,4,554807549
453,5,554807547
451,9,554807545
458,5,554807552
468,2,554807562
467,2,554807561
465,3,554807559
462,4,554807556
470,1,554807564
471,1,554807565
463,5,554807557
474,1,554807568
475,1,554807569
478,1,554807572
469,4,554807563
460,8,554807554
479,2,554807573
464,7,554807558
466,7,554807560
483,1,554807577
481,3,554807575
476,6,554807570
482,3,554807576
485,2,554807579
480,5,554807574
487,2,554807581
484,4,554807578
490,1,554807584
477,7,554807571
473,9,554807567
491,2,554807585
488,3,554807582
489,4,554807583
496,3,554807590
498,2,554807592
499,1,554807593
492,4,554807586
494,5,554807588
500,2,554807594
501,2,554807595
486,9,554807580
493,6,554807587
504,1,554807598
497,5,554807591
506,1,554807600
507,1,554807601
508,1,554807602
495,7,554807589
511,1,554807605
509,2,554807603
503,5,554807597
502,5,554807596
516,1,554807610
510,4,554807604
505,6,554807599
519,2,554807613
514,5,554807608
520,2,554807614
438,34,554807532
518,4,554807612
522,1,554807616
472,19,554807566
512,7,554807606
525,1,554807619
523,1,554807617
513,7,554807607
517,5,554807611
526,2,554807620
521,4,554807615
528,2,554807622
524,3,554807618
527,3,554807621
537,2,554807631
440,38,554807534
534,2,554807628
530,5,554807624
531,5,554807625
535,4,554807629
540,2,554807634
538,3,554807632
529,6,554807623
542,2,554807636
