cenario_label,cenario_tag,phi,num_obs,n_runs,beta_mean,beta_std,beta_sem
"$N^{C}_{0}=0.5\,N^{E}_{0}$",Nc=Np*0.5,0.0,0,100,0.8214110605810856,0.013485927707057378,0.0013485927707057377
"$N^{C}_{0}=0.5\,N^{E}_{0}$",Nc=Np*0.5,0.0999755859375,1638,100,0.8125997755906333,0.014725890587558792,0.0014725890587558791
"$N^{C}_{0}=0.5\,N^{E}_{0}$",Nc=Np*0.5,0.199951171875,3276,100,0.7981626665664233,0.018551819777007386,0.0018551819777007385
"$N^{C}_{0}=0.5\,N^{E}_{0}$",Nc=Np*0.5,0.29998779296875,4915,100,0.7630685526702468,0.01693847298571359,0.001693847298571359
"$N^{C}_{0}=0.5\,N^{E}_{0}$",Nc=Np*0.5,0.39996337890625,6553,100,0.7000251262500563,0.021569878741781727,0.0021569878741781725
"$N^{C}_{0}=0.5\,N^{E}_{0}$",Nc=Np*0.5,0.5,8192,100,0.6378098671982166,0.028100253586877542,0.0028100253586877543
"$N^{C}_{0}=0.5\,N^{E}_{0}$",Nc=Np*0.5,0.5999755859375,9830,100,0.6100287071482049,0.04006937149453827,0.004006937149453827
"$N^{C}_{0}=0.5\,N^{E}_{0}$",Nc=Np*0.5,0.699951171875,11468,100,0.6044331507826466,0.0443966079680258,0.00443966079680258
"$N^{C}_{0}=0.5\,N^{E}_{0}$",Nc=Np*0.5,0.79998779296875,13107,100,0.6426531205025,0.0918368803264764,0.00918368803264764
"$N^{C}_{0}=0.5\,N^{E}_{0}$",Nc=Np*0.5,0.89996337890625,14745,100,0.9751927876283655,0.8350692752036113,0.08350692752036112
"$N^{C}_{0}=0.8\,N^{E}_{0}$",Nc=Np*0.8,0.0,0,100,0.7772773696301495,0.016110022164771556,0.0016110022164771555
"$N^{C}_{0}=0.8\,N^{E}_{0}$",Nc=Np*0.8,0.0999755859375,1638,100,0.7603122898267968,0.016194582230583596,0.0016194582230583596
"$N^{C}_{0}=0.8\,N^{E}_{0}$",Nc=Np*0.8,0.199951171875,3276,100,0.7386166842395083,0.016155438350855447,0.0016155438350855447
"$N^{C}_{0}=0.8\,N^{E}_{0}$",Nc=Np*0.8,0.29998779296875,4915,100,0.7092886991086819,0.015451185014017908,0.0015451185014017908
"$N^{C}_{0}=0.8\,N^{E}_{0}$",Nc=Np*0.8,0.39996337890625,6553,100,0.6731105547893205,0.021469804773337552,0.002146980477333755
"$N^{C}_{0}=0.8\,N^{E}_{0}$",Nc=Np*0.8,0.5,8192,100,0.6373395298464488,0.02446588133420196,0.002446588133420196
"$N^{C}_{0}=0.8\,N^{E}_{0}$",Nc=Np*0.8,0.5999755859375,9830,100,0.6178411835621165,0.02898752971187029,0.002898752971187029
"$N^{C}_{0}=0.8\,N^{E}_{0}$",Nc=Np*0.8,0.699951171875,11468,100,0.6161080090557591,0.0383144472630601,0.0038314447263060104
"$N^{C}_{0}=0.8\,N^{E}_{0}$",Nc=Np*0.8,0.79998779296875,13107,100,0.6218595966836771,0.0657148219003403,0.006571482190034029
"$N^{C}_{0}=0.8\,N^{E}_{0}$",Nc=Np*0.8,0.89996337890625,14745,100,0.7806678636532941,0.554943605434063,0.0554943605434063
$N^{C}_{0}=N^{E}_{0}$,Nc=Np,0.0,0,100,0.7738394061763444,0.020067921673824082,0.002006792167382408
$N^{C}_{0}=N^{E}_{0}$,Nc=Np,0.0999755859375,1638,100,0.7485218909405507,0.018424648432832317,0.0018424648432832317
$N^{C}_{0}=N^{E}_{0}$,Nc=Np,0.199951171875,3276,100,0.7184638678427622,0.019085195276486284,0.0019085195276486284
$N^{C}_{0}=N^{E}_{0}$,Nc=Np,0.29998779296875,4915,100,0.6839590902508392,0.015189802488934935,0.0015189802488934936
$N^{C}_{0}=N^{E}_{0}$,Nc=Np,0.39996337890625,6553,100,0.6548379118166169,0.01808021450529547,0.001808021450529547
$N^{C}_{0}=N^{E}_{0}$,Nc=Np,0.5,8192,100,0.6322557630654372,0.02314438080160558,0.002314438080160558
$N^{C}_{0}=N^{E}_{0}$,Nc=Np,0.5999755859375,9830,100,0.6229304100170251,0.02524781575018373,0.002524781575018373
$N^{C}_{0}=N^{E}_{0}$,Nc=Np,0.699951171875,11468,100,0.6245913973343077,0.044619174348824,0.0044619174348824
$N^{C}_{0}=N^{E}_{0}$,Nc=Np,0.79998779296875,13107,100,0.6357153118808406,0.060942417294966265,0.0060942417294966265
$N^{C}_{0}=N^{E}_{0}$,Nc=Np,0.89996337890625,14745,100,0.767265732037854,0.575916463729198,0.0575916463729198
