tau,msd_ensemble,n_contrib
1,2.358681640625,204800
2,3.733310546875,204800
3,5.147802734375,204800
4,6.5856591796875,204800
5,7.973251953125,204800
6,9.3159814453125,204800
7,10.6149462890625,204800
8,11.8412646484375,204800
9,13.0094921875,204800
10,14.149794921875,204800
11,15.227509765625,204800
12,16.27853515625,204800
13,17.2852978515625,204800
14,18.2679931640625,204800
15,19.2265283203125,204800
16,20.1939208984375,204800
17,21.1494677734375,204800
18,22.0828515625,204800
19,23.018408203125,204800
20,23.910185546875,204800
21,24.8304736328125,204800
22,25.748828125,204800
23,26.6645361328125,204800
24,27.5608447265625,204800
25,28.460498046875,204800
26,29.35841796875,204800
27,30.255634765625,204800
