tau,msd_mean,msd_std,n_contrib
1,1.0197684344260012,0.254026285676849,204800
2,2.1255116644549914,0.5907290832138639,204800
3,3.31167827049971,1.0367196842612965,204800
4,4.57341419995665,1.5896727869901206,204800
5,5.91002458077095,2.2507378382104304,204800
6,7.3267498228283685,3.0255985216334285,204800
7,8.830492180439856,3.9219292329999456,204800
8,10.43086567400286,4.949947552151309,204800
9,12.141537691702489,6.126520723059067,204800
10,13.979781088691123,7.470233247455118,204800
11,15.96242807654567,9.002011702746767,204800
12,18.110267530169196,10.750284117962945,204800
13,20.449928425601694,12.747280742745277,204800
14,23.013313785611363,15.027824468110548,204800
15,25.832949704686698,17.64033373179932,204800
16,28.9576533261908,20.64401630418877,204800
17,32.443072911081956,24.116950248796204,204800
18,36.364916786302565,28.152261343425604,204800
19,40.81322002038247,32.87661437708738,204800
20,45.90935387095954,38.47544725925289,204800
21,51.82855907632717,45.222550704227935,204800
22,58.80691068739483,53.52480124052174,204800
23,67.19901733112684,64.08118896182545,204800
24,77.57079950427635,78.18579912815485,204800
25,90.94230666153081,98.63775251704487,204800
26,109.53295419169132,133.37434304122425,204800
27,140.82364805127682,222.29967454658654,204800
28,168.73274671330702,278.0888975185049,200704
29,175.54722942978813,223.1013720422633,192512
30,249.15203574942203,404.6171785733229,192512
31,281.5417770325047,427.5771625887879,180224
32,357.67012234673956,559.1379134140884,169984
33,418.11114281383084,658.3244767873891,151552
34,451.7043434578105,706.1890070373386,129024
35,466.7899796463536,705.5524136437382,108544
36,532.9556649617509,795.3376242999899,94208
37,632.4712091043257,951.4496913047174,79872
38,624.4258972083019,937.8170491035239,61440
39,640.7868353605584,960.0417198667593,49152
40,744.0191069428738,1128.869432008332,40960
41,646.1101623173422,970.3272131202551,30720
42,741.6804463530509,1063.1693605515607,26624
43,866.013088072793,1184.1476428099334,22528
44,1118.1131606079916,1494.8951908935899,18432
45,1258.7710028754361,1753.3138795078992,12288
46,603.2130010986326,741.4704158231607,6144
47,1037.1860613141744,1533.6947901191788,6144
48,614.5440266927084,665.8206032127482,4096
49,880.7082934570315,1018.589324839872,4096
50,1609.1382751464844,2114.3999192373008,4096
51,923.7744140625,915.2623633879724,2048
52,1421.0859375,1419.6363847005016,2048
53,2918.267578125,2946.1790509368875,2048
