tau,msd_mean,msd_std,n_contrib
1,33.95901309742645,116.87272339675903,2048
2,56.97878225226172,189.27441701169295,2048
3,75.67827762831132,245.97223074085204,2048
4,91.37413411458313,289.8111789967672,2048
5,105.24659186241628,326.0964290844594,2048
6,117.35714804159646,354.14458063493254,2048
7,128.39869990965144,377.6995453944673,2048
8,139.09533524186628,400.81049814125373,2048
9,149.9474912446117,421.2381228774563,2048
10,159.22221544053826,434.4140790273067,2048
11,168.8740848994755,449.04465165172167,2048
12,177.52141216439225,459.9236603339202,2048
13,184.87656527039033,464.6400295735599,2048
14,192.5702566964287,466.71701740175973,2048
15,199.7813307947391,468.8190526582966,2048
16,207.7549146569293,473.7574516759444,2048
17,215.5255688298361,479.1237816054776,2048
18,223.07798497817097,482.5169588174274,2048
19,229.9987449363425,483.8253575803666,2048
20,237.75018948227617,487.39170940691696,2048
21,245.42910743656034,491.504535399493,2048
22,252.0675492720167,491.2956221919431,2048
23,258.7860247197044,490.69035101393814,2048
24,264.435205078125,486.1686264035021,2048
25,269.353265806686,480.2569998954321,2048
26,273.83837890625,474.43753799799424,2048
27,278.312465397391,470.5978220076246,2048
28,281.66254727802584,463.1069901166173,2048
29,283.8807929687496,453.48204088143734,2048
30,285.283518145161,444.2126035987189,2048
31,285.6000778074186,432.3777407377088,2048
32,284.3208207927772,416.91665243893755,2048
33,282.1727183948865,402.4779896612713,2048
34,278.5786702473958,386.01692134401515,2048
35,274.57661091780426,370.24465155043083,2048
36,269.9081245034431,355.2797019456045,2048
37,263.5511151175214,338.1178019928592,2048
38,255.97476932920293,319.4142089268618,2048
39,246.7173191236415,300.2094384384022,2048
40,235.8123886376098,280.1095572826221,2048
41,223.77638447179186,260.75578714055234,2048
42,210.34834943498893,240.0363243151009,2048
43,195.58463541666688,219.38617529818097,2048
44,178.39622247869292,196.99138402435187,2048
45,158.57838033973627,171.7346216739029,2048
46,137.47800021701383,145.67925316362357,2048
47,114.67725065712612,120.22154402521245,2048
48,89.60404075766505,93.4033963888725,2048
49,61.70215308779771,63.414923320813514,2048
50,31.55025071364186,32.75938437709877,2048
